EntrezID,GeneName
10057,ABCC5
55324,ABCF3
23527,ACAP2
86,ACTL6A
1173,AP2M1
23200,ATP11B
9076,CLDN1
1294,COL7A1
54165,DCUN1D1
1739,DLG1
1857,DVL3
131583,FAM43A
200933,FBXO45
8087,FXR1
84248,FYTTD1
8833,GMPS
3840,KPNA4
79782,LRRC31
55341,LSG1
116931,MED12L
55892,MYNN
4976,OPA1
5028,P2RY1
5062,PAK2
55486,PARL
5130,PCYT1A
11235,PDCD10
54965,PIGX
5290,PIK3CA
23007,PLCH1
5337,PLD1
5708,PSMD2
5982,RFC2
165918,RNF168
51319,RSRC1
6405,SEMA3F
205564,SENP5
6478,SIAH2
6657,SOX2
55171,TBCCD1
7036,TFR2
8626,TP63
6434,TRA2B
90226,UCN2
348793,WDR53
55689,YEATS2
51193,ZNF639
