Gene,Importance
DSG3,3.391520486656979
KRT5,3.3318306278304446
LASS3,3.263683935752665
DSC3,3.2101999948360533
BNC1,3.1955250028921727
CALML3,3.094478523160482
S1PR5,3.0895015322714294
CLCA2,3.0155003366984623
SERPINB13,2.9524027851600123
TP63,2.9413498418355823
KRT74,2.917081240743438
IRF6,2.896430708418592
PVRL1,2.887895217017719
FAT2,2.7747713840824044
CSTA,2.7211309473660217
KRT6C,2.7090090866184626
LOC642587,2.655809684992273
VSNL1,2.622913505773176
KRT6B,2.622654500687925
DAPL1,2.619209631743808
JAG1,2.561291692561724
PERP,2.552369144862285
KRT6A,2.509759111809283
TPRXL,2.4909136321430827
ATP1B3,2.4279366462035523
RAET1L,2.3904777458509594
C10orf99,2.38404710234201
TRIM29,2.3793885746662116
KRT17,2.376735085526232
NTRK2,2.3621744527325106
PKP1,2.3614831818786604
FAM83C,2.3568188277181865
A2ML1,2.352558815755482
ANXA8,2.3171045969622353
KRT31,2.3146525709093826
BMP7,2.312672414134543
WFDC5,2.305680295799771
C3orf21,2.3041451530322625
COL4A6,2.303726316594142
HR,2.3031345408380073
KRT13,2.3011207144212946
GPC1,2.2937001099739334
DQX1,2.282724632034483
C12orf54,2.279552854823076
GBP6,2.276639785550305
KRT14,2.2756291704447875
PARD6G,2.2708543011281215
FAM181B,2.2352747774497352
HNF1B,2.2350339147927873
P2RY1,2.227426754473604
ODZ2,2.217576288472894
HOXD11,2.2055909808650673
DDAH1,2.2017875416845243
KRT16,2.1931264449375476
SPRR2A,2.1907654732312603
SNAI2,2.1893875495166797
DLX5,2.1665703442756388
RBM47,2.157988728546991
GJB5,2.155881915984184
DENND2C,2.1423796663073618
FAM83B,2.139290470191567
CELSR2,2.1349154464352407
TMEM40,2.129296603254797
ADAM23,2.125641920848468
ADH7,2.12382192651274
SERPINB5,2.110118713079228
SLC16A1,2.1043685321939454
MICALL1,2.1018038063852935
TMPRSS11A,2.0883285746650504
SH3BP1,2.0808850102318583
CAPNS2,2.0775821513901196
S100A2,2.0721072246265853
GABRQ,2.071207347858479
MCC,2.0676001543516387
CDHR1,2.065972556735807
ITGA6,2.064910836544805
TMEM189,2.0599170939085756
RORC,2.0588856749339417
RGL3,2.0522880784279636
TMPRSS11F,2.052256343238891
COL7A1,2.04747352090121
SLC6A8,2.0467967350700795
ZNF488,2.045052186673737
ABCC5,2.0408020515736705
AP2M1,2.037794867584261
STARD5,2.01900409371799
EPHA10,2.015480590534458
PNCK,2.012442679937706
SERPINB2,2.010059285345093
ARRB1,1.995553661886434
KCNG1,1.989272600841508
ARHGEF38,1.980198185747085
CLDN3,1.979612791116198
TBCCD1,1.9778525116902823
PTPRZ1,1.9760409834329211
LONRF3,1.9708557716856085
LOC100130933,1.968656053040648
ACSL5,1.9658716229044022
RHCG,1.9658618595180262
ATP11A,1.965250576779041
BCL2L15,1.9641470305582973
SOX15,1.9640656772977951
PTHLH,1.9565372760447122
IGSF11,1.9521989071669297
ALDH3B1,1.9475783507735351
C17orf28,1.9472553275743747
BICD2,1.9428865934755792
HAP1,1.9418563201352987
SIAH2,1.9415435997549713
SLC6A15,1.9367611159575207
SLC39A2,1.9324280473500481
TMEM117,1.924644588796877
CGN,1.9241340050003242
USP31,1.921324014551736
GABRA3,1.9212468678600372
TMTC3,1.9174455276559392
TMEM125,1.9172030358457623
TMPRSS11D,1.9140382996216077
KCTD1,1.9118982110369327
KCNK5,1.9094838205104268
DLG1,1.9020225458225413
SPDEF,1.901309748009608
GPR39,1.898464815437678
NMNAT3,1.897243286642178
CHRM3,1.8966635785550336
ICA1,1.8932934935884074
KCNQ3,1.893038568761956
STON2,1.8890801690035817
USH1G,1.8888590376929737
ANXA8L2,1.8881109914713605
ST6GALNAC2,1.8865672064279688
LGALS7,1.8835669167019229
GOLM1,1.8801057581152105
DVL3,1.8771222267729106
NKX2-1,1.8703877183382596
MAPKBP1,1.864286574612201
CLCA4,1.8633603175612752
COL4A5,1.8618897871972324
KCTD15,1.8610790359118028
SLC9A3R2,1.8578171318010965
SPRR2E,1.8543739749487695
C3orf54,1.8521563517550899
FOXD1,1.850318511435012
ARTN,1.8498304027872572
PGAP1,1.8461027336789289
CD2AP,1.845022867093943
C17orf99,1.8392943404107853
EFNB1,1.836727700375783
RNASE7,1.8326076911172593
SLC2A1,1.8325777280136255
FRRS1,1.822135275237699
GRHL3,1.8207052050643058
FMO5,1.820082012292442
FANCE,1.8179789617573683
KLHL13,1.8118067830117905
MUC1,1.808526622228467
FZD6,1.8065048004531086
DLX6,1.800287186112774
SESN3,1.7997061515520123
RAPGEFL1,1.7971336163361629
GOLT1A,1.7965438675348238
E2F7,1.7962893984035402
STK32A,1.7961238372973827
SNTB1,1.7917731612652743
PLAC2,1.7914485435973724
SPRR1A,1.790850904477876
S100A7,1.7883101566308628
GJB6,1.78555456873796
GNA14,1.7848807842085856
FOXE1,1.7798361534426388
LSG1,1.7738470270486384
OCLN,1.7720927190162195
MLPH,1.769905749023789
KC6,1.7682950702031932
YEATS2,1.7608541197265133
SLCO1A2,1.7595294055756123
SMPDL3B,1.7527899400698836
RNF168,1.7494229430646637
TOX3,1.7484064905776915
PCYT1A,1.7446951046059953
RNF217,1.7442886155309985
EN1,1.7373679633333592
MARK1,1.7276452390900503
LPIN2,1.726875110883126
PLEKHA6,1.7258873248267605
FRMD6,1.724742792894419
GABRR1,1.719767032286761
TRA2B,1.7194575836079653
C9orf152,1.7191038679213304
LIMK2,1.7185513252381972
LMO7,1.7115610520840545
HDGFRP3,1.710206596067461
RBP1,1.7079906905365982
COQ3,1.707258501295186
ST3GAL5,1.7042513104416535
PRR15L,1.7014918568470598
UCN2,1.7010831160485014
SKP2,1.6974644883109862
LYPD3,1.6939652777161127
NXPH4,1.693635586315775
ACAP2,1.6935817370400656
GLOD5,1.6930421802303732
TMEM63A,1.692196345117985
SEMA3F,1.6917300110571385
CXCR7,1.6914825103724067
KRT15,1.6910753736655524
LOC100129034,1.689917899419777
WDR72,1.6896167758671392
PNMA2,1.6854632017010924
FBXO45,1.6836427407525767
FST,1.6819402573252114
DGKA,1.679463034286989
PGM2,1.6770524761982597
PSMD2,1.6743839646187852
SFN,1.6738536157207504
CRKL,1.670055130561663
FOXN1,1.6698026287754277
DLK2,1.6685210893392446
SFTA2,1.6676579184134552
FBXO27,1.665386203629613
ABCC6,1.658902263504742
GAL3ST1,1.6568668503958468
PLD1,1.6561193078558143
HOXA1,1.6559625286266728
DSG1,1.6536616768283707
ZIC5,1.6505941008422012
ACOX2,1.647315485158425
ZNF385A,1.6464456611825302
ACTL6A,1.6452677364396187
FYTTD1,1.6444459489130154
OXGR1,1.640481806691597
LPCAT1,1.639805684784061
NDUFA4L2,1.638038496325465
RFC4,1.6371188321629786
TESC,1.6371037859679245
C1orf210,1.6369416445862282
FGFR2,1.6366192138388505
MBIP,1.6354485787927469
SNX31,1.6325506686828666
GJB4,1.629208876715203
TSLP,1.628713558163554
ATP11B,1.6273772962125304
C15orf41,1.6253983687839595
CEACAM6,1.6250994347515444
NUDT11,1.6175407456408375
C3orf58,1.615523789340109
HOXA13,1.6143027393382556
FAM84A,1.6081038462365445
FJX1,1.6068114793150479
TRPV4,1.6052427727985832
CAPN8,1.6050284566430821
SENP5,1.6049896570349351
CD9,1.6011010566067332
RARG,1.6007031423336782
PRIMA1,1.5996621138025138
CADPS2,1.5954713346632552
ERBB3,1.592545091108272
FSCN1,1.5897996669260048
FLJ90757,1.5884275722865062
GFOD1,1.587956370965962
ABCC6P2,1.5868330781126825
SUCLG2,1.5856325617083824
HES2,1.5845240821418007
DLX6AS,1.5828814689135755
C4orf34,1.5816272790724828
QSOX1,1.5810706283331346
SLC41A2,1.5801563886755363
TMC5,1.5798416979171406
HS6ST1,1.5775749333039513
BTBD11,1.577211499874939
WNT2B,1.5749467277489713
DMRT2,1.5737142286884256
STAR,1.5704022549179677
KRT9,1.5690027178161148
NKAIN2,1.566704332097787
GJA3,1.565931116903562
ABCF3,1.5629930883438763
LGALS7B,1.5626875787514567
PLCH2,1.5622106709136911
C12orf56,1.557396195460636
TFRC,1.5552195060145775
ABCC6P1,1.55403073034354
EFCAB4A,1.5537098591925211
ZFP64,1.5530007108043282
SYNGR1,1.552159862099212
BSPRY,1.5515445719300727
BCL11A,1.551348745498211
MGRN1,1.551298346859355
GALM,1.549380049586406
LOC440173,1.5467676084092412
LPAR3,1.5462991792996312
SLC44A4,1.5458173211169464
MRAP2,1.5447541608586741
PTDSS1,1.5404107886286122
ANKRD57,1.536334410540206
CPA4,1.5341572303400004
PIGX,1.5316780321697496
NRARP,1.5283061984951636
SLC6A2,1.5250962051477615
JARID2,1.5243486241786488
C16orf74,1.5214216124073736
PLCH1,1.519074854768109
PAPL,1.5183306020387002
IQCD,1.5148081939675409
DST,1.5139506875445927
OPA1,1.5074570863103198
C15orf42,1.5051269318316618
TMEM150A,1.502402767071473
VSTM2L,1.5014778205159072
CYP2S1,1.5013034523716042
XG,1.4991421282716124
SPRR3,1.4989808381063428
KRT75,1.4977459179334756
RPS6KA2,1.4975516459735723
IRX4,1.4940178491237157
PPP1R9A,1.4920087969182498
FXR1,1.4908903160260154
PTGFRN,1.4908565590503473
LGSN,1.4908146650492948
SERPINB7,1.49036265722172
ZDHHC9,1.4900194535203692
ARHGAP23,1.4889529049263537
FAM83F,1.4854586140553612
MCM2,1.4853188600259655
ARSE,1.4831992603455466
HRAS,1.4819887152077484
EPCAM,1.4817921695996636
LRRC31,1.4802222534196765
BEAN,1.4797783625468535
BTBD9,1.4796539304041045
PRNP,1.478609454510514
ZNF639,1.4768715726771529
RAB19,1.4715818085416332
PCDH19,1.4713356714626729
RSRC1,1.4690223688549107
NAA50,1.4687175753470432
CCNJL,1.4663072781500606
NGFR,1.4638035474609956
DPP4,1.4635783469690935
ENPP4,1.4619930278988529
KRT7,1.4616439932584846
PARL,1.4607007601841864
PAK7,1.4603910546091463
C9orf125,1.460291461425721
LOC440925,1.4574960499674394
KRT34,1.4574667913139008
ABCC3,1.4571989397271323
PITPNB,1.4561880722267795
S100A7A,1.4541109585273697
ZNF69,1.4535011855941093
SMO,1.450336988793837
FAM131C,1.4499624924253662
SOX2,1.4484301407564926
TMEM92,1.4456417840058005
NIPAL4,1.4453228608103916
FAM83D,1.4440557264285905
SGMS2,1.441936116700003
FAM107B,1.440805603447197
LIMCH1,1.438444876615991
SPRR1B,1.437675505579632
ERBB2,1.4376307351535877
PI3,1.4374112557277188
HTR2C,1.4353942229833696
DCUN1D1,1.4350392637425684
JUP,1.4348316783579222
CDCA4,1.4337751843807829
GMPS,1.4337552435129413
HOXD13,1.4334240217836007
ALPK3,1.4316858956306338
NFE2L2,1.4312365472630701
DYNC1I1,1.43111232043919
LOC338651,1.4308352595122518
KPNA4,1.4307045318490377
BLCAP,1.4259490786827294
PREP,1.4255881550550784
PPP1R14D,1.4243701280340475
REPS1,1.4227183356644448
CENPW,1.4220440669168548
KRT18,1.4218677077275754
ERGIC1,1.4175949854709495
