Gene,Importance
DSG3,3.3909519289700127
KRT5,3.329559407674298
LASS3,3.2618288157218793
DSC3,3.208426665835863
BNC1,3.194699461281841
CALML3,3.092417163419204
S1PR5,3.0885774801012125
CLCA2,3.0140519598223157
SERPINB13,2.950424168145549
TP63,2.9398221067567603
KRT74,2.926103745779141
IRF6,2.897420999589335
PVRL1,2.887119425212401
FAT2,2.7714311821793807
CSTA,2.72036684078697
KRT6C,2.706887842542264
LOC642587,2.6550636574161124
VSNL1,2.621244305060631
KRT6B,2.6210699816322034
DAPL1,2.6180980386021
JAG1,2.5643613247674946
PERP,2.5467033409006694
KRT6A,2.5083910449548155
TPRXL,2.494133580192715
ATP1B3,2.425918582096565
RAET1L,2.389531195817443
C10orf99,2.383620423413375
KRT17,2.380415181456293
TRIM29,2.3783276127959434
NTRK2,2.3614149172287644
PKP1,2.359845526347299
FAM83C,2.3528214440603623
A2ML1,2.3515350587907786
ANXA8,2.3155490240304926
BMP7,2.3107823350177186
KRT31,2.307640962718551
WFDC5,2.30668360478675
C3orf21,2.3034073734498057
KRT13,2.300940396573222
HR,2.3009202048717423
COL4A6,2.299822432019197
GPC1,2.2928797453338605
DQX1,2.2815184575982372
C12orf54,2.2764600449398067
KRT14,2.273646905839535
GBP6,2.273054939580861
PARD6G,2.26794113587798
FAM181B,2.239467649390215
HNF1B,2.236639090673182
P2RY1,2.224727251890007
ODZ2,2.215929390407144
HOXD11,2.201408236476142
DDAH1,2.2002671280608417
KRT16,2.191915975503764
SNAI2,2.190734767322878
SPRR2A,2.189779563195484
DLX5,2.1677018205544774
RBM47,2.1676010048339176
GJB5,2.1532248548310613
DENND2C,2.1412930334780764
FAM83B,2.1394226583322995
CELSR2,2.136532505935439
ADAM23,2.1282203759882505
TMEM40,2.127565435091138
ADH7,2.122717706394889
SERPINB5,2.1055367085560883
MICALL1,2.1044344385742053
SLC16A1,2.103070305832599
TMPRSS11A,2.087003062723509
SH3BP1,2.0832008247092584
CAPNS2,2.0789638078378934
S100A2,2.070978336360519
MCC,2.0691838470260615
CDHR1,2.067686745165501
GABRQ,2.0664043320924708
ITGA6,2.063257705949285
TMEM189,2.060033219782896
RORC,2.059796751259314
TMPRSS11F,2.0554608983465363
RGL3,2.053663803166141
COL7A1,2.0472076200891056
SLC6A8,2.046195279077075
ABCC5,2.040437439934918
ZNF488,2.038555533771759
AP2M1,2.0358963674119566
STARD5,2.016749185324181
EPHA10,2.012206850587561
PNCK,2.0101830137911403
SERPINB2,2.009561025137635
ARRB1,1.9997414808512217
KCNG1,1.9863291808731773
ARHGEF38,1.981019190964704
TBCCD1,1.9786055018298743
CLDN3,1.9777636772950586
PTPRZ1,1.9773749236280231
LONRF3,1.9746087922614879
LOC100130933,1.972443942067684
ATP11A,1.9679341792811704
RHCG,1.9674028059201443
ACSL5,1.9664166667212741
BCL2L15,1.9646634005828796
SOX15,1.960302762185254
PTHLH,1.9566823920213614
IGSF11,1.951215176673923
ALDH3B1,1.9487591982418961
C17orf28,1.9486689911473607
SIAH2,1.9436506137332406
BICD2,1.9423621998271552
HAP1,1.9404611916036316
SLC6A15,1.9367996558160052
CGN,1.9317334239118649
TMEM117,1.9311425077248139
SLC39A2,1.9292450209811676
TMEM125,1.923037019078431
GABRA3,1.9222122483882693
TMTC3,1.9187040073260027
USP31,1.918086046831159
TMPRSS11D,1.9131279341164533
KCNK5,1.9116548902375454
KCTD1,1.9060045870052404
DLG1,1.9026335699028423
SPDEF,1.902042145995722
GPR39,1.9009429533426316
NMNAT3,1.8972670992661846
CHRM3,1.8954803613655327
KCNQ3,1.8948660031699895
ICA1,1.8942907001694698
USH1G,1.8878065487658982
STON2,1.886617639370286
ST6GALNAC2,1.8863943490632387
ANXA8L2,1.8860974350566042
LGALS7,1.8800513436135136
GOLM1,1.8781857465600114
DVL3,1.8769307998906077
NKX2-1,1.8730372477920914
MAPKBP1,1.8646679441415792
CLCA4,1.8636286043979833
COL4A5,1.8582101399772137
KCTD15,1.857740623064458
SLC9A3R2,1.8570886829925946
C3orf54,1.8526404332846236
SPRR2E,1.849821940710327
ARTN,1.8487571495506083
FOXD1,1.8467266786839742
PGAP1,1.8462404558025447
CD2AP,1.8418843240107567
RNASE7,1.8346523761388973
C17orf99,1.8343530758152062
EFNB1,1.8328658874053112
SLC2A1,1.831566232030211
FRRS1,1.823941831512983
FMO5,1.823444281876812
FANCE,1.8217791680543072
GRHL3,1.8192475132696477
