seed1,seed2,seed3,seed4,seed5
ABCC5,ABCC5,ABCC5,ABCC5,ABCC5
ABCF3,ABCF3,ABCF3,ABCF3,ABCF3
ACAP2,ACAP2,ACAP2,ACAP2,ACAP2
ACTL6A,ACTL6A,ACTL6A,ACTL6A,ACTL6A
AP2M1,AP2M1,AP2M1,AP2M1,AP2M1
ATP11B,ATP11B,ATP11B,ATP11B,ATP11B
CLDN1,CLDN1,CLDN1,CLDN1,CLDN1
COL7A1,COL7A1,COL7A1,COL7A1,COL7A1
DCUN1D1,DCUN1D1,DCUN1D1,DCUN1D1,DCUN1D1
DLG1,DLG1,DLG1,DLG1,DLG1
DVL3,DVL3,DVL3,DVL3,DVL3
FBXO45,EIF5A2,EIF5A2,FBXO45,EIF5A2
FXR1,FBXO45,FBXO45,FXR1,FBXO45
FYTTD1,FXR1,FXR1,FYTTD1,FXR1
GMPS,FYTTD1,FYTTD1,GMPS,FYTTD1
KPNA4,GMPS,GMPS,KPNA4,GMPS
LRRC31,KPNA4,KPNA4,LRRC31,KPNA4
LSG1,LRRC31,LRRC31,LSG1,LRRC31
MED12L,LSG1,LSG1,MED12L,LSG1
MFN1,MED12L,MED12L,MFN1,MED12L
MYNN,MFN1,MFN1,MYNN,MFN1
OPA1,MYNN,MYNN,OPA1,MYNN
P2RY1,OPA1,OPA1,P2RY1,OPA1
PAK2,P2RY1,P2RY1,PAK2,P2RY1
PARL,PAK2,PAK2,PARL,PAK2
PCYT1A,PARL,PARL,PCYT1A,PARL
PDCD10,PCYT1A,PCYT1A,PDCD10,PCYT1A
PIGX,PDCD10,PDCD10,PIGX,PDCD10
PIK3CA,PIGX,PIGX,PIK3CA,PIGX
PLCH1,PIK3CA,PIK3CA,PLCH1,PIK3CA
PLD1,PLCH1,PLCH1,PLD1,PLCH1
PSMD2,PLD1,PLD1,PSMD2,PLD1
RFC4,PSMD2,PSMD2,RFC4,PSMD2
RNF168,RFC4,RFC4,RNF168,RFC4
RSRC1,RNF168,RNF168,RSRC1,RNF168
SEMA3F,RSRC1,RSRC1,SEMA3F,RSRC1
SENP5,SEMA3F,SEMA3F,SENP5,SEMA3F
SIAH2,SENP5,SENP5,SIAH2,SENP5
SOX2,SIAH2,SIAH2,SOX2,SIAH2
TBCCD1,SOX2,SOX2,TBCCD1,SOX2
TFRC,TBCCD1,TBCCD1,TFRC,TBCCD1
TP63,TFRC,TFRC,TP63,TFRC
TRA2B,TP63,TP63,TRA2B,TP63
UCN2,TRA2B,TRA2B,UCN2,TRA2B
WDR53,UCN2,UCN2,WDR53,UCN2
YEATS2,WDR53,WDR53,YEATS2,WDR53
ZNF639,YEATS2,YEATS2,ZNF639,YEATS2
,ZNF639,ZNF639,,ZNF639
