seed1,seed2,seed3,seed4,seed5
A2ML1,A2ML1,A2ML1,A2ML1,A2ML1
AADAC,AADAC,AADAC,AADAC,AADAC
AADACL2,AADACL2,AADACL2,AADACL2,AADACL2
ABCA13,ABCA13,ABCA13,ABCA13,ABCA13
ABCC3,ABCC3,ABCC3,ABCC3,ABCC3
ABCC5,ABCC5,ABCC5,ABCC5,ABCC5
ABCC6,ABCC6,ABCC6,ABCC6,ABCC6
ABCC6P1,ABCC6P1,ABCC6P1,ABCC6P1,ABCC6P1
ABCC6P2,ABCC6P2,ABCC6P2,ABCC6P2,ABCC6P2
ABCF3,ABCF3,ABCF3,ABCF3,ABCF3
ABHD14A,ABHD14A,ABHD14A,ABHD14A,ABHD14A
ABHD14B,ABHD14B,ABHD14B,ABHD14B,ABHD14B
ABHD5,ABHD5,ABHD5,ABHD5,ABHD5
ACAP2,ACAP2,ACAP2,ACAP2,ACAP2
ACKR2,ACKR2,ACKR2,ACKR2,ACKR2
ACOX2,ACOX2,ACOX2,ACOX2,ACOX2
ACSL5,ACSL5,ACSL5,ACSL5,ACSL5
ACTL6A,ACTL6A,ACTL6A,ACTL6A,ACTL6A
ACTRT3,ACTRT3,ACTRT3,ACTRT3,ACTRT3
ACVR1C,ACVR1C,ACVR1C,ACVR1C,ACVR1C
ACY1,ACY1,ACY1,ACY1,ACY1
ADAM23,ADAM23,ADAM23,ADAM23,ADAM23
ADH7,ADH7,ADH7,ADH7,ADH7
ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ,ADIPOQ
AGTR1,AGTR1,AGTR1,AGTR1,AGTR1
AHSG,AHSG,AHSG,AHSG,AHSG
ALAS1,ALAS1,ALAS1,ALAS1,ALAS1
ALDH3B1,ALDH3B1,ALDH3B1,ALDH3B1,ALDH3B1
ALG3,ALG3,ALG3,ALG3,ALG3
ALOX12,ALOX12,ALOX12,ALOX12,ALOX12
ALPK3,ALPK3,ALPK3,ALPK3,ALPK3
AMIGO3,AMIGO3,AMIGO3,AMIGO3,AMIGO3
ANKRD18DP,AMT,ANKRD18DP,ANKRD18DP,ANKRD18DP
ANKRD57,ANKRD18DP,ANKRD57,ANKRD57,ANKRD57
ANKUB1,ANKRD57,ANKUB1,ANKUB1,ANKUB1
ANXA8,ANKUB1,ANXA8,ANXA8,ANXA8
ANXA8L2,ANXA8,ANXA8L2,ANXA8L2,ANXA8L2
AP2M1,ANXA8L2,AP2M1,AP2M1,AP2M1
APEH,AP2M1,APEH,APEH,APEH
APOD,APEH,APOD,APOD,APOD
AQP7,APOD,AQP7,AQP7,AQP7
ARHGAP23,ARHGAP23,ARHGAP23,ARHGAP23,ARHGAP23
ARHGEF26,ARHGEF26,ARHGEF26,ARHGEF26,ARHGEF26
ARHGEF38,ARHGEF38,ARHGEF38,ARHGEF38,ARHGEF38
